Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,MonthlyCharges,Churn
Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,86.1,No
Yes,Yes,6,Yes,No,No,No,No,No,No,19.7,No
Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,80.9,No
No,No,22,Yes,Yes,Fiber optic,No,No,No,No,84.15,No
Yes,Yes,22,Yes,No,No,No,No,No,No,20.15,No
Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,64.25,No
No,No,10,Yes,Yes,No,No,No,No,No,25.7,No
No,Yes,13,Yes,No,DSL,Yes,Yes,No,No,56,No
Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,82.4,Yes
No,No,2,Yes,No,Fiber optic,No,No,No,No,69.7,No
No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,73.9,No
Yes,Yes,11,Yes,No,No,No,No,No,No,20.6,No
Yes,No,69,Yes,No,No,No,No,No,No,19.9,No
No,No,4,Yes,No,Fiber optic,No,No,No,No,70.9,Yes
Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.05,No
Yes,No,58,No,No,DSL,No,Yes,Yes,No,45.3,Yes
Yes,Yes,16,Yes,No,No,No,No,No,No,20.4,No
Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,84.25,No
Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,104.4,Yes
Yes,No,14,Yes,No,DSL,No,Yes,Yes,Yes,81.95,No
Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,94.85,Yes
No,No,32,Yes,No,No,No,No,No,No,20.55,No
Yes,No,34,Yes,Yes,No,No,No,No,No,24.7,No
No,No,15,Yes,Yes,Fiber optic,No,No,No,No,74.45,Yes
No,No,7,Yes,No,Fiber optic,Yes,No,No,No,76.45,Yes
Yes,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.35,No
Yes,No,61,Yes,No,No,No,No,No,No,20.55,No
No,No,1,No,No,DSL,No,Yes,No,No,29.95,Yes
No,No,1,Yes,No,DSL,No,No,No,No,45.3,No
No,No,8,Yes,Yes,Fiber optic,No,No,No,No,84.5,Yes
Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,74.75,No
No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,79.25,Yes
Yes,No,1,No,No,DSL,No,No,No,No,24.8,Yes
No,No,20,Yes,No,DSL,No,Yes,No,No,51.8,No
No,No,3,No,No,DSL,No,No,No,Yes,30.4,No
No,No,13,Yes,No,No,No,No,No,No,19.65,No
Yes,No,40,Yes,Yes,DSL,No,Yes,No,No,56.6,No
Yes,Yes,43,Yes,Yes,DSL,Yes,No,No,Yes,71.9,No
Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,91,Yes
Yes,Yes,69,Yes,No,No,No,No,No,No,19.75,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,109.7,No
Yes,Yes,59,Yes,No,No,No,No,No,No,19.3,No
Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No,Yes,96.55,No
Yes,Yes,24,Yes,Yes,No,No,No,No,No,24.1,No
No,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,111.35,No
Yes,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,112.25,No
No,Yes,1,Yes,No,No,No,No,No,No,20.75,No
Yes,No,27,Yes,No,Fiber optic,Yes,No,No,Yes,101.9,No
No,No,14,Yes,No,Fiber optic,No,Yes,No,Yes,80.05,No
Yes,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,105.55,No
No,Yes,13,Yes,No,Fiber optic,No,No,No,No,78.3,No
No,No,44,Yes,No,Fiber optic,No,No,No,No,68.85,No
No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,79.95,No
Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,55.45,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,79.9,Yes
No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,106.6,Yes
Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,Yes,102.45,No
No,No,2,Yes,No,DSL,No,No,No,No,46,Yes
No,No,1,No,No,DSL,No,No,No,No,25.25,No
No,Yes,61,Yes,No,No,No,No,No,No,19.75,No
Yes,Yes,29,Yes,No,No,No,No,No,No,20,No
Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,86.8,No
Yes,No,57,No,No,DSL,Yes,Yes,Yes,No,58.75,No
Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,45.25,No
Yes,No,66,No,No,DSL,Yes,Yes,Yes,Yes,56.6,No
Yes,Yes,65,Yes,Yes,DSL,No,Yes,Yes,Yes,84.2,No
No,No,8,Yes,No,Fiber optic,No,No,No,No,80,No
No,No,4,Yes,No,Fiber optic,No,No,No,No,70.15,Yes
Yes,No,71,Yes,Yes,No,No,No,No,No,24.75,No
Yes,Yes,1,Yes,No,No,No,No,No,No,20.2,No
Yes,No,4,Yes,No,DSL,No,No,No,Yes,50.05,Yes
No,No,12,Yes,No,No,No,No,No,No,19.35,No
No,No,24,No,No,DSL,Yes,No,No,No,50.6,No
Yes,Yes,31,Yes,No,DSL,Yes,No,Yes,Yes,81.15,No
Yes,No,1,Yes,No,DSL,No,No,No,No,55.2,Yes
No,No,30,Yes,Yes,Fiber optic,No,No,No,Yes,89.9,No
Yes,Yes,47,Yes,Yes,DSL,Yes,Yes,No,Yes,85.3,No
No,No,54,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,108,No
No,No,50,Yes,No,Fiber optic,Yes,Yes,No,Yes,93.5,No
No,No,1,Yes,No,Fiber optic,Yes,No,No,No,84.6,Yes
No,No,72,Yes,No,No,No,No,No,No,20.25,No
No,No,29,Yes,Yes,No,No,No,No,No,25.15,No
No,No,2,Yes,Yes,DSL,No,Yes,No,No,54.4,Yes
No,No,10,No,No,DSL,No,No,No,Yes,29.6,No
Yes,No,18,Yes,Yes,Fiber optic,No,No,No,No,73.15,No
No,No,11,Yes,No,Fiber optic,No,Yes,No,No,95,Yes
No,No,16,Yes,No,No,No,No,No,No,19.75,No
No,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,86.6,No
No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,109.2,No
Yes,Yes,41,Yes,No,DSL,Yes,No,No,Yes,74.7,No
Yes,No,65,Yes,No,Fiber optic,Yes,Yes,Yes,No,94.4,No
No,No,13,Yes,No,DSL,No,Yes,Yes,No,54.8,No
No,No,4,Yes,No,Fiber optic,Yes,No,No,No,75.35,No
No,No,41,Yes,Yes,DSL,No,No,Yes,No,65,No
No,No,15,Yes,No,Fiber optic,No,Yes,No,No,74.4,Yes
No,No,1,Yes,No,DSL,Yes,No,No,No,48.55,Yes
No,No,42,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,99,No
Yes,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,No,93.5,No
Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,70.4,Yes
Yes,No,1,No,No,DSL,No,Yes,No,No,40.2,Yes
No,Yes,32,Yes,Yes,DSL,No,Yes,Yes,Yes,83.7,No
No,No,10,Yes,No,No,No,No,No,No,19.85,No
Yes,Yes,67,No,No,DSL,No,Yes,Yes,Yes,59.55,No
Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,115.1,No
No,No,50,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,114.35,No
Yes,No,2,Yes,No,DSL,No,No,No,No,44.6,Yes
Yes,No,29,No,No,DSL,Yes,No,Yes,No,45,No
No,No,3,No,No,DSL,No,No,Yes,No,41.15,Yes
No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,106.9,Yes
Yes,No,57,Yes,Yes,Fiber optic,No,Yes,No,No,89.85,No
No,No,31,No,No,DSL,Yes,Yes,No,Yes,49.85,No
Yes,No,45,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,113.3,No
Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88.1,No
No,No,50,Yes,Yes,No,No,No,No,No,24.9,No
No,No,19,Yes,No,Fiber optic,Yes,Yes,No,Yes,105,No
No,No,59,Yes,No,No,No,No,No,No,19.35,Yes
Yes,No,71,Yes,Yes,No,No,No,No,No,24.25,No
No,No,16,Yes,No,Fiber optic,No,No,No,Yes,94.45,Yes
Yes,No,57,Yes,No,DSL,Yes,Yes,No,Yes,59.75,No
No,No,1,No,No,DSL,No,No,No,No,24.8,Yes
Yes,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,107.05,No
No,No,1,Yes,No,Fiber optic,No,No,No,No,70.6,Yes
Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,85.4,Yes
Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,105.05,Yes
Yes,No,21,Yes,No,DSL,Yes,Yes,No,No,64.95,No
No,No,14,No,No,DSL,No,No,Yes,Yes,55,No
No,No,5,Yes,No,DSL,No,Yes,No,No,50.55,No
No,No,6,Yes,No,DSL,Yes,Yes,No,No,55.15,No
No,No,10,Yes,No,DSL,No,Yes,No,No,51.2,No
No,Yes,1,Yes,Yes,No,No,No,No,No,25.4,No
No,No,68,Yes,Yes,DSL,Yes,No,No,No,54.45,No
Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,95.15,Yes
No,No,22,Yes,Yes,Fiber optic,No,No,No,No,76,No
No,No,20,Yes,No,DSL,No,No,No,No,44.35,No
Yes,No,1,Yes,No,Fiber optic,No,No,No,No,70,Yes
No,No,8,Yes,No,Fiber optic,No,Yes,No,No,74.5,Yes
No,No,10,Yes,No,DSL,No,No,No,No,44.85,Yes
No,No,24,Yes,Yes,Fiber optic,No,No,No,No,76.1,Yes
No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,61.2,No
Yes,Yes,23,Yes,No,Fiber optic,No,Yes,Yes,Yes,86.8,No
No,No,6,Yes,No,Fiber optic,No,No,No,No,89.35,No
No,No,12,Yes,No,No,No,No,No,No,19.7,No
No,No,1,Yes,No,No,No,No,No,No,20.25,No
Yes,Yes,71,Yes,No,Fiber optic,No,No,Yes,No,76.05,No
Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,100.8,No
Yes,Yes,40,Yes,Yes,DSL,No,No,Yes,No,74.55,No
No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,73.6,Yes
No,No,23,Yes,No,DSL,No,No,No,No,64.9,No
No,No,4,Yes,Yes,Fiber optic,No,No,No,No,95.45,Yes
No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,90.4,No
Yes,Yes,68,No,No,DSL,No,Yes,Yes,Yes,60.3,No
No,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,No,81.85,No
Yes,Yes,52,Yes,Yes,No,No,No,No,No,24.8,No
Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,74.9,Yes
Yes,Yes,29,Yes,No,DSL,No,No,Yes,Yes,75.55,No
Yes,Yes,38,Yes,Yes,Fiber optic,No,Yes,No,No,101.15,No
No,Yes,48,Yes,Yes,DSL,Yes,No,Yes,No,78.75,No
No,No,1,Yes,No,No,No,No,No,No,19.25,No
No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,89.05,No
No,No,43,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,115.05,No
Yes,No,5,Yes,No,Fiber optic,No,No,No,No,69.35,No
No,No,5,Yes,No,Fiber optic,No,No,No,No,80.6,Yes
Yes,Yes,51,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,110.05,No
No,No,71,Yes,No,No,No,No,No,No,19.9,No
Yes,Yes,38,Yes,No,DSL,Yes,Yes,No,Yes,80.3,Yes
Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,93.15,Yes
Yes,No,35,Yes,Yes,Fiber optic,No,No,No,Yes,91.5,No
No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,82.45,Yes
Yes,Yes,72,No,No,DSL,No,Yes,Yes,Yes,60,No
No,No,1,Yes,No,DSL,No,No,No,No,44.8,No
Yes,Yes,9,Yes,No,DSL,Yes,No,No,No,48.6,No
No,No,69,No,No,DSL,Yes,Yes,No,Yes,60.05,No
Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,102.7,No
Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,82.9,No
No,No,2,Yes,No,Fiber optic,No,No,No,No,70.35,Yes
Yes,Yes,28,No,No,DSL,No,No,No,No,35.9,No
No,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,82.65,No
Yes,Yes,35,Yes,No,No,No,No,No,No,19.85,No
No,No,8,Yes,No,No,No,No,No,No,19.2,No
No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,94.9,No
No,No,7,Yes,Yes,Fiber optic,No,No,No,No,73.85,Yes
No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,80.6,Yes
Yes,Yes,68,Yes,Yes,DSL,No,Yes,Yes,Yes,75.8,Yes
No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,104.6,Yes
No,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,88.15,No
No,No,36,Yes,No,Fiber optic,No,Yes,No,No,94.8,No
Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,103.4,Yes
No,No,32,Yes,No,DSL,No,Yes,No,Yes,54.65,No
Yes,No,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,85.75,No
Yes,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,No,67.45,No
No,No,63,Yes,No,No,No,No,No,No,20.5,No
No,Yes,41,Yes,No,No,No,No,No,No,20.25,No
No,No,1,Yes,Yes,Fiber optic,No,No,No,No,72.1,No
No,No,2,Yes,No,Fiber optic,No,No,No,No,90.4,Yes
Yes,No,70,Yes,No,No,No,No,No,No,19.45,No
No,No,23,No,No,DSL,No,No,No,No,44.95,No
Yes,No,64,Yes,No,Fiber optic,Yes,Yes,Yes,No,97,No
Yes,Yes,37,Yes,Yes,DSL,Yes,No,Yes,Yes,62.8,No
No,Yes,17,Yes,No,DSL,No,No,No,No,44.6,No
No,No,7,Yes,No,Fiber optic,No,No,No,No,89.15,No
Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,84.8,Yes
No,No,21,No,No,DSL,Yes,No,No,No,41.9,Yes
No,No,10,Yes,No,Fiber optic,No,No,No,No,80.25,Yes
No,No,16,Yes,Yes,DSL,Yes,No,No,No,54.1,No
Yes,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,105.25,No
Yes,No,27,No,No,DSL,Yes,No,No,No,30.75,Yes
Yes,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No,97.1,No
No,Yes,5,Yes,No,No,No,No,No,No,20.2,No
No,No,41,Yes,No,Fiber optic,No,Yes,No,Yes,98.8,No
Yes,No,58,Yes,No,DSL,No,No,Yes,No,50.3,No
No,No,47,Yes,No,No,No,No,No,No,20.55,No
No,No,18,Yes,No,Fiber optic,No,No,No,Yes,75.9,No
No,No,5,Yes,No,Fiber optic,No,No,Yes,No,96.5,Yes
Yes,No,23,Yes,No,DSL,Yes,No,No,No,59.95,No
No,No,1,Yes,No,No,No,No,No,No,19.15,No
Yes,No,71,Yes,Yes,Fiber optic,No,No,Yes,No,98.65,No
Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,112.6,No
Yes,Yes,33,Yes,No,No,No,No,No,No,20.6,No
No,No,2,Yes,Yes,Fiber optic,No,No,No,No,85.65,Yes
No,Yes,24,No,No,DSL,Yes,No,No,Yes,35.75,No
Yes,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,99.75,No
No,No,37,Yes,No,Fiber optic,No,Yes,No,No,96.1,No
No,No,43,Yes,Yes,DSL,No,Yes,Yes,Yes,85.1,No
No,No,1,No,No,DSL,No,No,No,No,25.35,No
Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,104.95,Yes
No,No,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,89.65,No
No,No,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,86.75,No
Yes,No,41,Yes,No,Fiber optic,No,Yes,Yes,Yes,86.2,No
No,No,1,Yes,No,DSL,No,Yes,No,No,50.65,Yes
Yes,Yes,72,No,No,DSL,Yes,Yes,Yes,Yes,64.8,No
